--bus section
bus id,v(p.u.),theta(deg),bcs(MVAR at v=1p.u)
340,1.0896448961,13.1727715809,0.0000000000
341,1.0896357980,13.5956444066,0.0000000000
342,1.0866381374,31.2440383346,0.0000000000
343,1.0999987473,32.3722554189,0.0000000000
344,1.0999986054,32.4697911900,0.0000000000
345,1.0999989137,33.2073184349,0.0000000000
346,1.0814381629,8.4098730520,0.0000000000
347,1.0495810357,8.6603025275,0.0000000000
348,1.0791486750,6.7348826846,0.0000000000
349,1.0493060116,8.7089950675,0.0000000000
350,1.0772543731,-6.7473647903,0.0000000000
351,1.0744362362,-8.5116986770,0.0000000000
352,1.0771984329,-6.7523602024,0.0000000000
353,1.0797284587,34.5839720374,0.0000000000
354,1.0875159410,39.5536921860,0.0000000000
355,1.0795178786,34.5224007882,0.0000000000
356,1.0498514721,3.0251705100,0.0000000000
357,1.0750017698,-3.1093555291,0.0000000000
358,1.0514814289,1.9902839761,0.0000000000
359,1.0793204057,8.6790224204,0.0000000000
360,1.0373322141,-0.3575739856,0.0000000000
361,1.0321311105,-3.2386334675,0.0000000000
362,1.0365708368,-0.0531434940,0.0000000000
363,1.0365269094,0.2339041991,0.0000000000
364,1.0377908962,2.3910377958,0.0000000000
365,1.0389547346,2.3579916405,0.0000000000
366,1.0781379682,9.8142391158,0.0000000000
367,1.0815141497,10.1136844207,0.0000000000
368,1.0834091871,11.4712354085,0.0000000000
369,1.0220700242,13.3473760571,0.0000000000
370,1.0872695162,7.0915174014,0.0000000000
371,1.0999991459,8.3174590710,0.0000000000
372,1.0999991071,9.4822171787,0.0000000000
373,1.0862174526,6.9901109914,0.0000000000
374,1.0566455407,0.7620091877,32.9896102905
375,1.0580832083,2.3521204994,0.0000000000
376,1.0562042201,0.7586463382,0.0000000000
377,1.0795482114,9.6597356303,0.0000000000
378,1.0368198225,10.6133707479,0.0000000000
379,1.0390663870,11.5103493516,0.0000000000
380,1.0361438217,10.3730835570,0.0000000000
381,1.0378843092,11.8064555561,0.0000000000
382,1.0527962646,1.1200444464,0.0000000000
383,1.0525946140,1.0894339368,7.7858727502
384,1.0536239170,1.2934265400,0.0000000000
385,1.0535984217,1.2922305403,-3.8778606885
386,1.0735694661,-2.3287224149,0.0000000000
387,1.0799999908,-4.1995217285,0.0000000000
388,1.0733827002,-2.2948326839,0.0000000000
389,1.0711241073,35.0789424342,0.0000000000
390,1.0788183856,34.5942008508,0.0000000000
391,0.9956039523,36.7471619393,0.0000000000
392,0.9913839871,37.7953200952,0.0000000000
393,0.9858713015,38.0895678964,0.0000000000
394,0.9849473645,37.4555373039,0.0000000000
395,1.0587393993,4.8326892058,0.0000000000
396,1.0942009813,3.8871228274,0.0000000000
397,1.0585718676,4.8885613070,0.0000000000
398,1.0496802858,-6.2341161576,0.0000000000
399,1.0830095407,22.9907427453,0.0000000000
400,1.0789924880,34.9381994440,0.0000000000
401,1.0732947553,37.8742852211,0.0000000000
402,1.0695105014,39.2274013130,0.0000000000
403,1.0789599441,34.8725565567,0.0000000000
404,1.0857358162,6.0155515788,0.0000000000
405,1.0856985338,25.1186530068,0.0000000000
406,1.0846874404,23.4315283402,0.0000000000
407,1.0999949613,26.7196104824,0.0000000000
408,1.0999915546,27.3187560421,0.0000000000
409,1.0999901592,27.9068752481,0.0000000000
410,1.0999908551,27.8080515829,0.0000000000
411,1.0999893309,28.4450042534,0.0000000000
412,1.0999907653,27.5100460153,0.0000000000
413,1.0798376249,-1.8387896709,0.0000000000
414,1.0630035169,34.9250676910,0.0000000000
415,1.0787268720,32.1498684919,0.0000000000
416,1.0161200962,35.6997354180,0.0000000000
417,1.0605319339,35.7365092534,0.0000000000
418,1.0614690460,36.6202939088,0.0000000000
419,1.0161339036,35.7012524619,0.0000000000
420,1.0170030322,35.9966511784,0.0000000000
421,1.0555640372,1.6372110533,0.0000000000
422,1.0497494298,-2.2659325784,0.0000000000
423,1.0493036764,-5.8830855329,0.0000000000
424,1.0545048069,-0.5990568060,0.0000000000
425,1.0541605239,-0.9269984061,0.0000000000
426,1.0402230253,-0.6199999143,0.0000000000
427,1.0560512118,-0.9648270053,0.0000000000
428,1.0525265838,-1.0588026070,0.0000000000
429,1.0799997636,-3.3559345205,0.0000000000
430,1.0736055278,-5.4123809903,0.0000000000
431,1.0406729977,-2.3348165496,0.0000000000
432,1.0386392899,-1.6460913466,0.0000000000
433,1.0478393980,-2.5038085687,0.0000000000
434,1.0443072984,-2.1138358345,0.0000000000
435,1.0773971095,-3.8693186403,0.0000000000
436,1.0700441404,-6.0193164955,0.0000000000
437,1.0017222644,-1.8647360177,0.0000000000
438,1.0007178647,-2.9646884712,0.0000000000
439,0.9945923839,-2.1490794424,0.0000000000
440,0.9948393604,-3.2605922846,0.0000000000
441,1.0408363692,-9.6193927477,0.0000000000
442,1.0673329971,26.6131550495,0.0000000000
443,1.0998067715,33.2015696129,0.0000000000
444,1.0989407963,32.8173668550,0.0000000000
445,1.0672749142,26.6064220655,0.0000000000
446,1.0411702125,0.0293808917,0.0000000000
447,1.0549507037,-2.0149639090,0.0000000000
448,1.0472992995,2.2114795138,0.0000000000
449,1.0470570002,2.3598493373,0.0000000000
450,0.9740970950,2.2557789502,0.0000000000
451,0.9791384933,1.5198510830,0.0000000000
452,0.9796694585,1.0896889677,0.0000000000
453,1.0563985815,-12.4387712554,0.0000000000
454,1.0769830344,-6.4464978484,0.0000000000
455,1.0799998137,-8.2670086861,0.0000000000
456,1.0139488787,-1.7349045497,0.0000000000
457,1.0261798661,-5.8197870743,0.0000000000
458,1.0139635055,-4.1865284681,0.0000000000
459,1.0222295080,-4.6854058184,0.0000000000
460,1.0799998415,0.0519840627,0.0000000000
461,1.0737070665,-1.3215086197,0.0000000000
462,1.0531726994,1.7762110489,0.0000000000
463,1.0525880486,1.7015150172,0.0000000000
464,1.0499382044,0.9593457448,0.0000000000
465,1.0518020028,3.2116281963,0.0000000000
466,1.0485545454,4.5772565521,0.0000000000
467,1.0517898585,3.2013237197,0.0000000000
468,1.0409179331,-6.9344530796,0.0000000000
469,1.0684211808,-9.7098890874,0.0000000000
470,1.0283194581,-5.0817904908,0.0000000000
471,1.0305149705,-6.1584677221,0.0000000000
472,1.0799667301,9.1450715327,0.0000000000
473,1.0799139604,9.1187583638,0.0000000000
474,1.0828515920,-10.7425819923,0.0000000000
475,1.0974419596,-9.9931469088,0.0000000000
476,1.0972849453,-8.7133088889,0.0000000000
477,1.0825936990,-10.7555860584,0.0000000000
478,1.0684052907,-3.6197886313,0.0000000000
479,1.0557503391,1.9176478831,0.0000000000
480,1.0853414378,-2.1668875884,0.0000000000
481,1.0776135202,3.7396605901,0.0000000000
482,1.0762312283,3.1161375394,0.0000000000
483,1.0758426324,3.9420005621,0.0000000000
484,1.0768326281,3.5302751156,0.0000000000
485,1.0802380251,2.4901328912,0.0000000000
486,1.0549752172,1.8549880707,0.0000000000
487,1.0466798879,-8.0447558105,0.0000000000
488,1.0543452927,1.8658464993,0.0000000000
489,1.0631177019,24.9587868209,0.0000000000
490,1.0629351010,25.3869052350,0.0000000000
491,1.0629080826,25.3852472693,0.0000000000
492,1.0826008871,29.1372673464,0.0000000000
493,1.0999816631,33.0424388718,0.0000000000
494,1.0999893462,31.4886107794,0.0000000000
495,1.0812782614,28.9819903126,0.0000000000
496,1.0409556110,-1.8627137469,0.0000000000
497,1.0781715293,-6.3788653140,0.0000000000
498,1.0411737916,-1.7612032029,0.0000000000
499,1.0840496337,23.1686448743,0.0000000000
500,1.0840251669,23.1678712903,0.0000000000
--generator section
i,unit id,pg(MW),qg(MVar)
272,'1',46.8999389692,18.0013644840
275,'1',888.1999759265,213.9617940839
276,'1',888.1999755497,190.9510424857
277,'1',8.3820543476,9.5940828724
277,'2',2.7160543472,9.5940828724
277,'3',9.6610543477,9.5940828724
277,'4',8.6510543476,9.5940828724
280,'1',142.7307521657,80.7564747492
281,'1',122.6657429795,80.7616589543
284,'1',52.7370032409,20.4127023233
285,'1',55.4150032408,18.0813655981
286,'1',69.2430032405,15.3717797001
287,'1',64.5980032406,16.4859144248
288,'1',52.4240032407,14.8410397548
289,'1',27.4790032411,21.4055963185
292,'1',0.4999887709,0.1918936146
292,'2',0.4999887704,0.1918936146
294,'1',17.9999390901,9.1601822437
297,'1',82.7681224290,6.7164429901
298,'1',178.4648038021,6.8347009558
299,'1',178.4664222823,8.9619713847
300,'1',86.6065780086,3.4886988286
301,'1',146.7347774311,6.4034737844
302,'1',86.7818797831,4.9375153461
303,'1',16.7120412683,25.9188254081
303,'2',13.7580412683,25.9188254081
306,'1',1.7450212827,3.2545094320
306,'2',0.7820212826,3.2545094320
307,'1',33.0842310584,4.4531499301
307,'2',33.0819112382,4.4531499301
307,'3',33.0863552825,4.4531499301
311,'1',676.4606845076,80.4688658647
312,'1',738.4584928117,80.5555100913
313,'1',734.7829097888,81.2393060057
316,'1',142.3670492535,-12.5998825420
317,'1',38.6762200743,-34.4163638191
318,'1',36.9521019834,-27.4315812328
319,'1',85.7300840320,-36.1273136217
320,'1',130.5811262388,-27.4554331518
321,'1',84.6801899860,-30.7759197756
324,'1',119.9999696194,-6.3435192291
325,'1',119.9999728496,-4.3045118075
326,'1',119.9999725924,-2.0165679224
327,'1',119.9999672817,-3.1445354653
328,'1',119.9999755631,-7.6996245100
329,'1',119.9999688243,-6.3243381089
330,'1',0.2590218325,0.4648977832
330,'2',0.1430218317,0.4648977832
330,'3',0.3480218333,0.4648977832
330,'4',0.4090218340,0.4648977832
334,'1',15.8460204059,31.9693662820
335,'1',12.5490273316,32.1459020018
338,'1',186.2551783295,31.6948177136
339,'1',179.4667224276,45.2005410758
340,'1',234.8498767811,47.8179063967
341,'1',206.6531945352,38.5299882702
343,'1',41.6620030847,23.9071913557
344,'1',38.5610030853,20.9767443499
345,'1',80.1460030834,26.5106966540
346,'1',48.4999643407,-3.8536280417
346,'2',48.4999614501,-3.8536280417
347,'1',36.5620512894,28.7975752707
347,'2',33.3450512893,28.7975752707
347,'3',29.9180512893,28.7975752707
350,'1',6.6760199294,11.0570812717
351,'1',14.1850205256,11.0576921441
351,'2',11.1920205256,11.0576921441
351,'3',10.0340205256,11.0576921441
354,'1',109.9997754019,9.3976716094
356,'1',13.6790357260,-1.4803107520
356,'2',5.6250357258,-1.4803107520
356,'3',12.3880357260,-1.4803107520
357,'1',6.1740853383,9.0575686381
358,'1',20.2750371014,4.3880214920
358,'2',25.1470371015,4.3880214920
358,'3',19.3960371014,4.3880214920
358,'4',15.9460371014,4.3880214920
359,'1',27.5999638137,-3.0577646571
359,'2',27.5999623433,-3.0577646571
362,'1',78.7070157756,-12.4008546863
363,'1',78.1910084850,-6.9182492543
364,'1',259.9660031773,5.0697969693
365,'1',286.1130040171,9.0531257914
367,'1',2.2290687784,1.2376315694
368,'1',9.0510682871,1.1882661062
368,'2',6.3200682864,1.1882661062
369,'1',9.5650675080,1.1306174623
371,'1',73.7320381335,37.8711853490
372,'1',133.8980232929,35.1306595709
375,'1',11.8645446302,0.3926231990
378,'1',65.6280032471,-15.9806454629
379,'1',66.6610032445,-4.8705894321
380,'1',31.0370032476,-11.4568914596
381,'1',113.6180031089,-9.4872498243
382,'1',3.5540215209,0.9208487589
382,'2',2.9250215208,0.9208487589
382,'3',0.8780215205,0.9208487589
382,'4',2.1930215206,0.9208487589
384,'1',5.1790215194,2.6965064137
384,'2',7.3350215195,2.6965064137
384,'3',3.1460215193,2.6965064137
384,'4',2.3780215193,2.6965064137
386,'1',27.4750097700,10.5933608710
386,'2',30.1390097700,10.5933608710
386,'3',11.0320097699,10.5933608710
386,'4',25.2080097699,10.5933608710
386,'5',12.5950097699,10.5933608710
386,'6',7.4680097699,10.5933608710
391,'1',141.4994930470,-3.7897672285
392,'1',141.4976124274,2.9187646677
393,'1',141.4992211614,3.7544295055
394,'1',103.2946056449,0.5194312775
